method,parameter,risk,coverage,n_answerable,n_unanswerable
Activation Steering,-20.0,0.0,0.0,20,20
Activation Steering,-15.0,0.0,0.0,20,20
Activation Steering,-10.0,0.0,0.0,20,20
Activation Steering,-5.0,0.0,0.30000000000000004,20,20
Activation Steering,-2.0,0.0,0.55,20,20
Activation Steering,0.0,0.0,0.7,20,20
Activation Steering,2.0,0.0,0.75,20,20
Activation Steering,5.0,0.050000000000000044,0.9,20,20
Activation Steering,10.0,0.09999999999999998,0.9444444444444444,18,20
Activation Steering,15.0,0.25,1.0,18,20
Activation Steering,20.0,0.6,1.0,18,20
Prompt Engineering,force_answer,0.15000000000000002,1.0,20,20
Prompt Engineering,default,0.0,0.7,20,20
Prompt Engineering,slight_caution,0.0,0.0,20,20
Prompt Engineering,moderate_caution,0.0,0.1578947368421053,19,20
Prompt Engineering,high_caution,0.0,0.7,20,20
Prompt Engineering,extreme_caution,0.0,0.0,19,20
Entropy Threshold,0.1,0.0,0.19999999999999996,15,20
Entropy Threshold,0.2357142857142857,0.0,0.1333333333333333,15,20
Entropy Threshold,0.37142857142857144,0.0,0.1333333333333333,15,20
Entropy Threshold,0.5071428571428571,0.0,0.2142857142857143,14,20
Entropy Threshold,0.6428571428571428,0.0,0.1333333333333333,15,20
Entropy Threshold,0.7785714285714285,0.0,0.19999999999999996,15,20
Entropy Threshold,0.9142857142857143,0.0,0.19999999999999996,15,20
Entropy Threshold,1.05,0.0,0.1875,16,20
Entropy Threshold,1.1857142857142857,0.0,0.17647058823529416,17,20
Entropy Threshold,1.3214285714285714,0.0,0.23529411764705888,17,20
Entropy Threshold,1.457142857142857,0.0,0.21052631578947367,19,20
Entropy Threshold,1.5928571428571427,0.0,0.21052631578947367,19,20
Entropy Threshold,1.7285714285714286,0.0,0.26315789473684215,19,20
Entropy Threshold,1.8642857142857143,0.0,0.21052631578947367,19,20
Entropy Threshold,2.0,0.0,0.3157894736842105,19,20
